City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ushuaia,AR,44.6,light rain,-54.8,-68.3,Albatros Hotel
5,Ponta Do Sol,PT,68.0,few clouds,32.6667,-17.1,Hotel do Campo
7,Sistranda,NO,41.0,scattered clouds,63.7256,8.834,Hotell Frøya
9,Seinajoki,FI,35.01,clear sky,62.7945,22.8282,"Original Sokos Hotel Vaakuna, Seinäjoki"
14,Punta Arenas,CL,50.0,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
15,Ribeira Grande,PT,62.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
22,Cape Town,ZA,68.0,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
23,Busselton,AU,59.0,clear sky,-33.65,115.3333,Observatory Guest House
25,Hermanus,ZA,63.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
38,Port Alfred,ZA,66.99,light rain,-33.5906,26.891,The Halyards Hotel
41,Douglas,US,41.0,mist,41.3,-96.167,Hilton Garden Inn Omaha West
43,Saint George,US,41.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
71,Laguna,US,41.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
74,Sarab,IR,44.44,overcast clouds,38.6066,44.9883,مسجد امام رضا
76,Jalu,LY,67.64,clear sky,29.0331,21.5482,صاحبة الفخامة
81,Kashi,CN,59.0,broken clouds,39.4547,75.9797,帕米尔青年旅舍
88,Lagoa,PT,60.26,few clouds,39.05,-27.9833,Casa Das Faias
92,Ardakan,IR,62.6,few clouds,32.31,54.0175,Ardakan Hotel
96,Lebu,CL,58.59,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
98,Narsaq,GL,41.0,broken clouds,60.9167,-46.05,Hotel Narsaq
101,Balkanabat,TM,38.95,broken clouds,39.5108,54.3671,Nebitchi Hotel
103,Olafsvik,IS,39.34,moderate rain,64.8945,-23.7142,Hotel Olafsvik
106,Aksu,CN,58.01,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
108,Carrboro,US,48.99,overcast clouds,35.9101,-79.0753,The Carolina Inn
126,Plettenberg Bay,ZA,67.91,light rain,-34.0527,23.3716,Thanda Vista B&B
136,Coquimbo,CL,62.6,overcast clouds,-29.9533,-71.3436,Punto de encuentro
137,Villarrobledo,ES,64.99,clear sky,39.2699,-2.6012,Hotel Castillo
140,Fort-Shevchenko,KZ,37.58,few clouds,44.5086,50.263000000000005,Oasis hotel Bautino
142,Durusu,TR,61.0,broken clouds,41.3053,28.6767,Çınar Pansiyon
154,Adamas,GR,59.0,broken clouds,36.7333,24.4333,Aphrodite of Milos
155,Paris,FR,50.0,overcast clouds,48.8534,2.3488,Hôtel Britannique - Paris Centre
172,Hamilton,US,36.0,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
173,Camacha,PT,64.4,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
175,Saldanha,ZA,64.74,clear sky,-33.0117,17.9442,Blue Bay Lodge
183,Praia Da Vitoria,PT,66.2,broken clouds,38.7333,-27.0667,Hotel Branco I
196,Loncoche,CL,57.2,overcast clouds,-39.3667,-72.6333,Cabañas JoanJuma
204,Eregli,TR,49.14,broken clouds,37.5133,34.0467,Hotel Fuat Bey
205,Klaksvik,FO,41.0,broken clouds,62.2266,-6.5889999999999995,Airbnb rooms
213,Sorland,NO,37.4,few clouds,67.667,12.6934,Sjybrygga fiskecamp
214,Rognan,NO,37.99,overcast clouds,67.0953,15.3878,Rognan Hotell
225,Korce,AL,41.0,scattered clouds,40.6186,20.7808,Life Gallery Hotel
