City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aleppo,SY,36.25,37.5,53.11,75,30,13.69,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,44.6,81,40,37.98,light rain
2,Pangody,RU,65.85,74.4859,16.3,95,100,6.76,light snow
3,Iquique,CL,-20.2208,-70.1431,78.8,44,0,16.11,clear sky
4,Presidente Medici,BR,-11.1753,-61.9014,74.34,96,100,2.68,overcast clouds
5,Ponta Do Sol,PT,32.6667,-17.1,68.0,56,20,16.11,few clouds
6,Longyearbyen,SJ,78.2186,15.6401,-4.0,77,40,2.3,scattered clouds
7,Sistranda,NO,63.7256,8.834,41.0,70,40,16.11,scattered clouds
8,Kargasok,RU,59.0556,80.8572,19.22,92,100,8.97,overcast clouds
9,Seinajoki,FI,62.7945,22.8282,35.01,80,0,6.91,clear sky
10,Georgetown,MY,5.4112,100.3354,86.0,74,20,3.44,few clouds
11,Beloha,MG,-25.1667,45.05,77.52,75,0,16.98,clear sky
12,Mar Del Plata,AR,-38.0023,-57.5575,73.99,68,0,8.05,clear sky
13,Ushtobe,KZ,45.2514,77.9838,25.56,57,100,3.22,overcast clouds
14,Punta Arenas,CL,-53.15,-70.9167,50.0,57,40,35.68,scattered clouds
15,Ribeira Grande,PT,38.5167,-28.7,62.6,88,40,9.22,scattered clouds
16,Iqaluit,CA,63.7506,-68.5145,-20.0,63,40,18.41,snow
17,Torbay,CA,47.6666,-52.7314,30.0,63,40,11.5,light snow
18,Abha,SA,18.2164,42.5053,71.6,46,0,10.36,clear sky
19,Asyut,EG,27.181,31.1837,78.8,29,0,10.36,clear sky
20,Qasigiannguit,GL,68.8193,-51.1922,14.0,67,75,6.91,broken clouds
21,Mirzapur,IN,25.15,82.5833,78.8,47,0,3.44,haze
22,Cape Town,ZA,-33.9258,18.4232,68.0,82,75,19.57,broken clouds
23,Busselton,AU,-33.65,115.3333,59.0,57,0,7.61,clear sky
24,Cidreira,BR,-30.1811,-50.2056,76.14,72,38,9.86,scattered clouds
25,Hermanus,ZA,-34.4187,19.2345,63.0,90,97,1.99,overcast clouds
26,Jamestown,US,42.097,-79.2353,30.99,35,1,10.31,clear sky
27,Rodrigues Alves,BR,-7.738,-72.6509,84.2,79,20,2.3,few clouds
28,Mollendo,PE,-17.0231,-72.0147,75.69,75,100,12.06,overcast clouds
29,Hithadhoo,MV,-0.6,73.0833,84.16,65,100,6.04,overcast clouds
30,Jamame,SO,0.0722,42.7506,78.46,75,13,10.56,few clouds
31,Ilulissat,GL,69.2167,-51.1,14.0,67,75,6.91,broken clouds
32,Mamallapuram,IN,12.6264,80.1722,80.6,78,20,6.91,few clouds
33,Sikonge,TZ,-5.6333,32.7667,84.2,45,40,11.5,scattered clouds
34,Douentza,ML,14.9951,-2.9517,97.36,10,0,10.45,clear sky
35,Ugoofaaru,MV,5.6667,73.0,83.7,74,75,10.87,broken clouds
36,Upernavik,GL,72.7868,-56.1549,-5.06,94,89,11.81,overcast clouds
37,Bubaque,GW,11.2833,-15.8333,79.45,58,0,14.16,clear sky
38,Port Alfred,ZA,-33.5906,26.891,66.99,94,99,8.99,light rain
39,Bredasdorp,ZA,-34.5322,20.0403,69.8,60,91,8.05,overcast clouds
40,Dikson,RU,73.5069,80.5464,-25.22,99,100,8.16,overcast clouds
41,Douglas,US,41.3,-96.167,41.0,87,90,3.44,mist
42,Muros,ES,42.7762,-9.0603,70.0,48,20,8.05,few clouds
43,Saint George,US,37.1041,-113.5841,41.0,75,1,3.44,clear sky
44,Merritt Island,US,28.5392,-80.672,78.8,73,40,6.91,scattered clouds
45,Caiaponia,BR,-16.9567,-51.8103,80.56,66,92,5.77,moderate rain
46,Itarema,BR,-2.9248,-39.9167,84.83,66,35,11.21,scattered clouds
47,Oranjemund,NA,-28.55,16.4333,65.57,76,33,24.09,scattered clouds
48,Porto Velho,BR,-8.7619,-63.9039,80.6,78,75,3.44,light rain
49,Georgiyevka,KZ,43.0369,74.7114,23.0,86,0,4.47,clear sky
50,Qaanaaq,GL,77.484,-69.3632,-7.24,64,0,6.53,clear sky
51,Arraial Do Cabo,BR,-22.9661,-42.0278,91.4,62,40,9.22,scattered clouds
52,Clyde River,CA,70.4692,-68.5914,-7.6,84,40,23.02,snow
53,Dingle,PH,10.9995,122.6711,75.83,93,59,1.54,broken clouds
54,Geraldton,AU,-28.7667,114.6,82.4,24,100,11.5,overcast clouds
55,Leh,IN,34.1667,77.5833,26.24,43,45,3.62,scattered clouds
56,Nantucket,US,41.2835,-70.0995,19.4,58,90,21.85,overcast clouds
57,Dhidhdhoo,MV,6.8833,73.1,83.98,69,14,7.43,few clouds
58,Nkhotakota,MW,-12.9274,34.2961,75.38,81,93,5.46,light rain
59,Luderitz,NA,-26.6481,15.1594,71.71,62,0,29.1,clear sky
60,Blagoyevo,RU,63.3667,47.9167,29.3,97,100,5.7,overcast clouds
61,Paulo Ramos,BR,-4.2167,-45.1833,88.86,65,24,2.86,few clouds
62,Kovdor,RU,67.5662,30.4758,24.76,97,99,1.34,overcast clouds
63,Zhezkazgan,KZ,47.8043,67.7144,7.43,84,100,6.67,overcast clouds
64,Cayenne,GF,4.9333,-52.3333,86.0,70,40,13.8,scattered clouds
65,Volot,RU,57.9278,30.7025,32.56,86,93,7.56,overcast clouds
66,Chililabombwe,ZM,-12.3648,27.8229,69.33,88,93,3.51,light rain
67,Mehamn,NO,71.0357,27.8492,30.2,64,75,18.41,broken clouds
68,Arona,ES,28.0996,-16.681,71.6,56,40,20.71,scattered clouds
69,Aswan,EG,24.0934,32.907,87.62,8,100,8.99,overcast clouds
70,Panaba,MX,21.2833,-88.2667,86.41,49,0,13.62,clear sky
71,Laguna,US,38.421,-121.4238,41.0,87,1,4.61,clear sky
72,Yarada,IN,17.65,83.2667,80.6,78,75,2.3,mist
73,Mahebourg,MU,-20.4081,57.7,78.8,89,40,8.05,scattered clouds
74,Sarab,IR,38.6066,44.9883,44.44,61,100,4.27,overcast clouds
75,Opuwo,NA,-18.0607,13.84,81.9,46,100,5.75,overcast clouds
76,Jalu,LY,29.0331,21.5482,67.64,37,1,20.51,clear sky
77,Ampanihy,MG,-24.7,44.75,79.9,66,4,12.64,clear sky
78,Port Elizabeth,ZA,-33.918,25.5701,71.6,73,0,25.32,clear sky
79,Abatskoye,RU,56.2875,70.4555,16.5,92,96,11.18,overcast clouds
80,Eenhana,NA,-17.4667,16.3333,93.2,29,40,2.3,scattered clouds
81,Kashi,CN,39.4547,75.9797,59.0,21,75,6.71,broken clouds
82,George Town,MY,5.4112,100.3354,86.0,74,20,3.44,few clouds
83,Honningsvag,NO,70.9821,25.9704,30.2,69,40,13.8,scattered clouds
84,Lgov,RU,51.6307,35.2775,36.34,90,100,9.15,light rain
85,Mattru,SL,7.6244,-11.8332,89.87,50,42,7.07,scattered clouds
86,Banposh,IN,22.25,84.8,75.33,21,0,2.28,clear sky
87,Touros,BR,-5.1989,-35.4608,87.8,58,75,10.36,broken clouds
88,Lagoa,PT,39.05,-27.9833,60.26,86,16,8.95,few clouds
89,Manono,CD,-7.3,27.4167,80.17,73,3,1.07,clear sky
90,Sao Joao Do Paraiso,BR,-15.3136,-42.0144,80.08,53,100,5.55,overcast clouds
91,Axim,GH,4.8699,-2.2405,85.6,64,36,9.75,scattered clouds
92,Ardakan,IR,32.31,54.0175,62.6,27,20,2.3,few clouds
93,Sept-Iles,CA,50.2001,-66.3821,5.0,39,20,18.41,few clouds
94,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,84.31,75,97,3.71,overcast clouds
95,Boa Vista,BR,2.8197,-60.6733,84.2,65,90,16.11,light rain
96,Lebu,CL,-37.6167,-73.65,58.59,80,100,4.32,overcast clouds
97,Arlit,NE,18.7369,7.3853,96.89,4,65,4.7,broken clouds
98,Narsaq,GL,60.9167,-46.05,41.0,33,75,27.63,broken clouds
99,Energetik,RU,51.7445,58.7934,2.37,83,0,5.95,clear sky
100,Saint-Philippe,RE,-21.3585,55.7679,82.4,65,0,1.14,clear sky
101,Balkanabat,TM,39.5108,54.3671,38.95,59,65,14.63,broken clouds
102,Horki,BY,54.2861,30.9842,34.39,79,98,2.64,overcast clouds
103,Olafsvik,IS,64.8945,-23.7142,39.34,89,100,22.57,moderate rain
104,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.48,67,77,11.88,broken clouds
105,Tutoia,BR,-2.7619,-42.2744,87.8,70,75,14.97,broken clouds
106,Aksu,CN,41.1231,80.2644,58.01,28,100,14.79,overcast clouds
107,Viedma,AR,-40.8135,-62.9967,87.64,28,10,15.19,clear sky
108,Carrboro,US,35.9101,-79.0753,48.99,26,100,1.01,overcast clouds
109,Okemos,US,42.7223,-84.4275,33.01,40,1,14.97,clear sky
110,De Aar,ZA,-30.6497,24.0123,75.61,43,74,3.91,light rain
111,Mangrol,IN,21.1167,70.1167,78.64,59,0,12.82,clear sky
112,Leticia,CO,-4.2153,-69.9406,84.2,79,75,3.44,broken clouds
113,Ilinge,ZA,-31.9768,27.0427,69.03,63,92,3.47,light rain
114,Pangnirtung,CA,66.1451,-65.7125,-23.8,76,1,5.75,clear sky
115,Eluru,IN,16.7,81.1,82.4,69,0,3.58,haze
116,East London,ZA,-33.0153,27.9116,73.4,78,20,16.11,moderate rain
117,Kavaratti,IN,10.5669,72.642,83.73,69,77,9.78,broken clouds
118,Sao Filipe,CV,14.8961,-24.4956,74.03,65,0,9.06,clear sky
119,Port Blair,IN,11.6667,92.75,80.8,78,0,7.07,clear sky
120,Oktyabrskoye,RU,43.0645,44.7417,33.8,86,100,6.71,overcast clouds
121,Taywarah,AF,33.35,64.4167,39.31,41,59,2.75,broken clouds
122,Brunswick,US,41.2381,-81.8418,34.0,40,75,12.66,broken clouds
123,Vilhena,BR,-12.7406,-60.1458,78.8,78,40,9.22,scattered clouds
124,Normandin,CA,48.8333,-72.5321,-4.0,54,92,11.5,overcast clouds
125,Bagula,IN,23.3167,88.65,78.13,32,0,6.93,clear sky
126,Plettenberg Bay,ZA,-34.0527,23.3716,67.91,83,32,10.22,light rain
127,Huarmey,PE,-10.0681,-78.1522,78.78,65,46,10.74,scattered clouds
128,Nanortalik,GL,60.1432,-45.2371,32.92,86,100,6.35,overcast clouds
129,Tingi,TZ,-11.3,35.0333,66.96,93,75,2.37,moderate rain
130,Issenye,TZ,-2.0,34.3333,71.47,66,66,3.22,broken clouds
131,Loja,EC,-3.9931,-79.2042,73.4,64,75,2.3,moderate rain
132,Caravelas,BR,-17.7125,-39.2481,85.78,55,29,8.77,scattered clouds
133,Nikolsk,RU,53.7189,46.0712,27.19,90,99,15.26,overcast clouds
134,Gwadar,PK,25.1216,62.3254,75.85,70,0,8.48,clear sky
135,Arambagh,IN,22.8833,87.7833,75.96,61,0,10.38,clear sky
136,Coquimbo,CL,-29.9533,-71.3436,62.6,72,90,8.05,overcast clouds
137,Villarrobledo,ES,39.2699,-2.6012,64.99,30,0,5.01,clear sky
138,Thompson,CA,55.7435,-97.8558,30.2,51,75,14.97,broken clouds
139,La Primavera,CO,5.4906,-70.4092,90.23,48,97,10.85,overcast clouds
140,Fort-Shevchenko,KZ,44.5086,50.263,37.58,49,12,19.19,few clouds
141,Harper,LR,4.375,-7.7169,83.08,72,96,10.11,overcast clouds
142,Durusu,TR,41.3053,28.6767,61.0,59,75,5.75,broken clouds
143,Bandarbeyla,SO,9.4942,50.8122,79.34,79,83,15.55,broken clouds
144,Linhares,BR,-19.3911,-40.0722,87.67,49,36,4.38,scattered clouds
145,Bambous Virieux,MU,-20.3428,57.7575,80.01,89,40,8.05,scattered clouds
146,Souillac,MU,-20.5167,57.5167,78.8,89,40,8.05,scattered clouds
147,Yar-Sale,RU,66.8333,70.8333,14.45,96,100,1.41,overcast clouds
148,Bathsheba,BB,13.2167,-59.5167,84.2,61,40,14.97,scattered clouds
149,Sinnamary,GF,5.3833,-52.95,80.56,77,99,11.48,overcast clouds
150,Vardo,NO,70.3705,31.1107,32.0,74,75,18.41,light snow
151,Shatki,RU,55.1887,44.1249,29.91,91,100,15.97,overcast clouds
152,Tabuk,PH,17.4189,121.4443,73.49,94,99,3.87,overcast clouds
153,Chissamba,AO,-12.1667,17.3333,75.2,60,40,5.75,moderate rain
154,Adamas,GR,36.7333,24.4333,59.0,63,65,17.27,broken clouds
155,Paris,FR,48.8534,2.3488,50.0,76,90,11.5,overcast clouds
156,Jibuti,DJ,11.5,42.5,80.6,69,75,9.22,broken clouds
157,Mbekenyera,TZ,-10.0,38.9833,73.96,95,100,3.42,moderate rain
158,Kangaatsiaq,GL,68.3065,-53.4641,6.44,99,100,20.98,overcast clouds
159,Wamba,NG,8.9333,8.6,98.82,21,100,7.09,overcast clouds
160,Bowmore,US,34.9421,-79.3031,53.6,22,90,14.97,overcast clouds
161,Mullovka,RU,54.2,49.4,23.0,74,32,15.66,scattered clouds
162,Grand Gaube,MU,-20.0064,57.6608,80.01,81,82,5.01,broken clouds
163,Kosh-Agach,RU,50.0,88.6667,7.03,73,63,2.66,broken clouds
164,Adeje,ES,28.1227,-16.726,71.6,56,40,20.71,scattered clouds
165,Faya,SA,18.3851,42.4509,71.6,46,0,10.36,clear sky
166,Kushmurun,KZ,52.4503,64.6311,3.81,85,34,9.64,scattered clouds
167,Jawhar,SO,2.7809,45.5005,80.31,67,78,18.01,broken clouds
168,Dudinka,RU,69.4058,86.1778,-31.38,94,88,2.06,overcast clouds
169,Paita,PE,-5.0892,-81.1144,84.2,58,0,4.61,clear sky
170,Pimenta Bueno,BR,-11.6725,-61.1936,80.06,81,95,4.97,overcast clouds
171,Aripuana,BR,-9.1667,-60.6333,81.63,90,91,2.08,overcast clouds
172,Hamilton,US,39.1834,-84.5333,36.0,44,90,11.5,overcast clouds
173,Camacha,PT,33.0833,-16.3333,64.4,72,40,16.11,scattered clouds
174,Puerto Ayacucho,VE,5.6639,-67.6236,95.09,43,14,0.31,few clouds
